truth,dare
"What's one thing you love doing together?",""
"What's your favorite snack or comfort food?",""
"What's one thing you’d do differently if you could go back in time?",""
"What's your favorite thing about yourself?",""
"What's one embarrassing trend you used to follow?",""
"What's one secret about you that only your best friend knows?",""
"What's your favorite way to relax?",""
"What's the most adventurous thing you’ve ever done?",""
"What's a moment you’ll never forget with me?",""
"What's one thing you admire most about me?",""
"What's one fear you’ve already overcome?",""
"What's the best compliment you’ve ever received?",""
"What's one thing that instantly cheers you up?",""
"What's the most awkward date you’ve ever been on?",""
"What's one childhood dream you still think about?",""
"What's the kindest thing you’ve done for someone else?",""
"What's your favorite season and why?",""
"What's one thing you’d never want to change about us?",""
"What's your guilty pleasure TV show or movie?",""
"What's one thing you secretly want to learn?",""
"What's your funniest memory from school?",""
"What's the weirdest food you’ve ever tried?",""
"What's your favorite pet or animal memory?",""
"What's something I do that makes you feel loved?",""
"What's the most surprising thing about me?",""
"What's your favorite memory from our first year together?",""
"What's your go-to comfort movie?",""
"What's one question you’re too shy to ask me?",""
"What's your dream vacation?",""
"What's your biggest accomplishment so far?",""
"What's the sweetest thing you’ve ever said to someone?",""
"What's one thing you’re afraid of losing?",""
"What's the weirdest dream you can remember?",""
"What's the most spontaneous thing you’ve ever done?",""
"What's your favorite ice cream flavor?",""
"What's your most embarrassing childhood story?",""
"What's your dream job?",""
"What's one thing you’d change about your school years?",""
"What's your most treasured possession?",""
"What's one thing you’re glad we’ve done together?",""
"What's your favorite thing to do on a rainy day?",""
"What's one thing you want us to try together?",""
"What's your biggest lesson from past relationships?",""
"What's the best piece of advice you’ve ever gotten?",""
"What's your favorite childhood TV show?",""
"What's your most awkward family moment?",""
"What's one thing you can’t live without?",""
"What's your most embarrassing habit?",""
"What's the first thing you notice about someone new?",""
"What's one tradition you want us to start?",""
"What's your favorite holiday food?",""
"What's your weirdest fear?",""
"What's one talent you wish you had?",""
"What's your favorite thing we’ve cooked together?",""
"What's the most exciting trip you’ve ever taken?",""
"What's one thing you’ve always wanted to try but haven’t yet?",""
"What's your favorite photo of us?",""
"What's one thing you’d tell your younger self?",""
"What's your favorite late-night snack?",""
"What's the hardest thing you’ve ever had to do?",""
"What's your most embarrassing fashion choice?",""
"What's your favorite part of the day with me?",""
"What's one thing you want to achieve this year?",""
"What's the best surprise you’ve ever gotten?",""
"What's your favorite icebreaker question?",""
"What's your favorite memory from last month?",""
"What's one thing you’d do if you won the lottery?",""
"What's your favorite thing to wear when relaxing?",""
"What's your most unusual habit?",""
"What's your favorite memory from a road trip?",""
"What's your favorite thing about weekends?",""
"What's one dream you’ve had about us?",""
"What's your most embarrassing crush?",""
"What's your favorite way to spend a lazy Sunday?",""
"What's your most unique skill?",""
"What's the most meaningful compliment I’ve given you?",""
"What's your favorite love song?",""
"What's the first movie we watched together?",""
"What's one thing that makes you instantly think of me?",""
"What's your favorite romantic gesture?",""
"What's something you hope we do in the future?",""
"What's one thing you never get tired of doing with me?",""
"What's one food you could eat every day?",""
"What's your favorite story I’ve told you?",""
"What's your favorite family tradition?",""
"What's your funniest habit?",""
"What's one thing you’d change about the world?",""
"What's your favorite photo of yourself?",""
"What's your favorite way to get cozy?",""
"What's one childhood fear you’ve outgrown?",""
"What's your favorite smell?",""
"What's your favorite thing about mornings with me?",""
"What's one thing you’d do if you had no responsibilities for a day?",""
"What's your favorite romantic movie scene?",""
"What's one thing you hope I never forget?",""
"What's one thing you’d love to relive?",""
"What's your favorite way to be surprised?",""
"What's the weirdest hobby you’ve tried?",""
"What's the nicest compliment you’ve given me?",""
"What's your favorite silly nickname for me?",""
"What's one thing you always wanted to try as a kid but didn’t?",""
"What's your favorite board game or card game?",""
"What's your favorite memory of us laughing together?",""
"What's the best advice you’d give someone about love?",""
"What's your favorite emoji to use with me?",""
"What's your dream car or trip?",""
"What's one thing you think we’re really good at as a couple?",""
"What's your favorite childhood book?",""
"What's your favorite icebreaker we’ve used together?",""
"What's your favorite sound?",""
"What's one thing you think makes me unique?",""
"What's one word you’d use to describe our love?",""
"What's your favorite way to celebrate?",""
"What's one food you’ll never eat?",""
"What's your favorite silly face I make?",""
"What's the best gift you’ve ever given someone?",""
"What's your favorite app on your phone?",""
"What's the most random fact you know?",""
"What's your favorite outfit of mine?",""
"What's one thing that always makes you blush?",""
"What's your favorite memory of us cooking or eating together?",""
"What's your favorite memory from school dances or parties?",""
"What's one thing you think is underrated about me?",""
"What's your favorite way to show love?",""
"What's one thing you’d never change about yourself?",""
"What's one thing that makes you nervous?",""
"What's one thing you think I don’t realize about you?",""
"What's your favorite way to say 'I love you'?",""
"What's one silly thing you believed as a kid?",""
"What's the best piece of advice you’d give your younger self?",""
"What's your favorite pizza topping?",""
"What's one thing you always wanted to ask me but were nervous to?",""
"What's your favorite holiday activity?",""
"What's your favorite game to play with friends?",""
"What's your favorite memory of our first trip together?",""
"What's your most embarrassing school story?",""
"What's your favorite part of the day when you think of me?",""
"What's one thing you want to improve about us?",""
"What's the funniest nickname you’ve ever had?",""
"What's one skill you wish you had?",""
"What's your favorite restaurant memory with me?",""
"What's one thing you’d love to do for me?",""
"What's your favorite smell that reminds you of childhood?",""
"What's one thing you always wanted to tell me but didn’t know when?",""
"What's your favorite funny YouTube video or meme?",""
"What's your favorite memory from a holiday with me?",""
"What's your most unusual food craving?",""
"What's your favorite silly habit we share?",""
"What's the first gift I gave you?",""
"What's your favorite outdoor activity with me?",""
"What's your most embarrassing dance move?",""
"What's your favorite thing I’ve ever said to you?",""
"What's one word that describes me best?",""
"What's your favorite memory of our first conversation?",""
"What's one thing you love about our differences?",""
"What's one thing you’d never tell anyone else but me?",""
"What's one thing you’ve learned from me?",""
"What's one thing you hope we do in the next year?",""
"What's the first compliment I gave you?",""
"What's your favorite way to relax with me?",""
"What's the first memory you have of us together?",""
"What's your favorite silly inside joke?",""
"What's one thing that makes you instantly laugh?",""
"What's your favorite hobby we could do together?",""
"What's one thing that makes you think of me immediately?",""
"What's one word you’d use to describe yourself?",""
"What's the most romantic thing you’d like us to do?",""
"What's one way you know I care about you?",""
"What's one childhood dream you still think about sometimes?",""
"What's one time you were really proud of me?",""
"What's one thing you think makes our relationship unique?",""
"What's the first time you realized you liked me?",""
"What's your favorite way to spend quality time with me?",""
